,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
1157,Basaltic andesite dike,-122.7167,45.9653,53.72,1.57,17.64,8.82,0.16,4.7,8.78,3.26,1.02,0.32
1158,Basaltic andesite dike,-122.6747,45.954,55.66,1.02,17.68,7.51,0.12,5.56,8.3,3.03,0.92,0.21
1159,Basaltic andesite,-122.6753,45.9027,56.67,1.67,16.05,9.49,0.16,3.47,7.28,4.04,0.86,0.31
1160,Andesite sill,-122.6625,45.967,57.09,1.72,15.97,8.95,0.18,3.47,7.14,3.66,1.46,0.35
1161,Andesite plug,-122.7337,45.9508,57.26,1.26,16.53,7.89,0.14,4.09,7.82,3.57,1.15,0.31
1162,Basalt,-122.7262,45.927,48.97,2.53,16.78,11.92,0.26,5.96,10.16,2.82,0.17,0.42
1163,Basalt,-122.551,45.92,51.3,1.87,16.45,10.34,0.18,6.69,9.51,3.0,0.33,0.31
1164,Basaltic andesite,-122.585,45.921,53.1,1.05,17.56,8.56,0.16,6.79,9.24,3.02,0.35,0.17
1165,Basalt,-122.592,45.876,51.31,1.96,16.67,9.9,0.19,6.24,9.84,3.01,0.48,0.4
1166,Basaltic andesite,-122.624,45.9587,52.79,1.1,17.56,8.45,0.16,6.54,9.85,2.75,0.64,0.16
1167,Basaltic andesite,-122.5932,45.954,52.94,0.89,19.42,7.45,0.16,5.38,9.89,2.82,0.91,0.14
1168,Basaltic andesite,-122.592,45.905,52.98,1.21,17.67,8.95,0.15,5.78,9.72,2.86,0.49,0.18
1169,Basaltic andesite,-122.591,45.988,53.11,0.92,19.53,7.1,0.14,5.41,10.12,2.56,0.97,0.14
1170,Basaltic andesite,-122.602,45.944,53.49,0.91,19.21,7.25,0.15,4.92,10.16,2.85,0.91,0.15
1171,Basaltic andesite,-122.518,45.99,53.51,1.4,17.03,8.92,0.15,5.31,9.39,3.2,0.8,0.28
1172,Basaltic andesite,-122.516,45.934,53.6,1.42,17.88,8.33,0.15,4.49,10.08,3.17,0.59,0.29
1173,Basaltic andesite,-122.503,45.996,53.63,1.19,17.94,8.42,0.15,5.62,9.53,2.95,0.37,0.21
1174,Basaltic andesite,-122.567,45.999,54.22,1.45,17.62,8.64,0.14,5.15,8.78,3.07,0.71,0.22
1175,Basaltic andesite,-122.597,45.964,54.24,1.42,17.8,9.17,0.29,3.89,8.79,3.44,0.75,0.23
1176,Basaltic andesite,-122.58,45.9587,54.43,1.02,18.16,7.65,0.16,5.21,9.42,3.23,0.52,0.2
1177,Basaltic andesite,-122.587,45.999,54.78,1.11,18.33,7.52,0.13,4.6,9.04,3.54,0.77,0.18
1178,Basaltic andesite,-122.516,45.949,54.79,0.96,18.72,7.48,0.13,4.64,8.78,3.4,0.92,0.17
1179,Basaltic andesite,-122.5932,45.969,54.83,1.16,17.07,8.33,0.15,5.68,9.05,3.0,0.49,0.24
1180,Basaltic andesite,-122.554,45.956,54.85,1.71,16.25,9.54,0.17,4.42,7.8,3.55,1.34,0.38
1181,Basaltic andesite,-122.502,45.987,54.9,1.15,17.67,8.32,0.15,4.48,9.31,3.08,0.74,0.21
1182,Basaltic andesite,-122.535,45.919,55.04,1.0,18.13,7.57,0.23,4.65,9.44,3.24,0.54,0.16
1183,Basaltic andesite,-122.555,45.913,55.28,1.21,17.16,7.97,0.15,5.04,8.71,3.38,0.89,0.21
1184,Basaltic andesite,-122.51,45.991,55.59,1.1,17.46,7.97,0.14,4.26,8.81,3.42,1.04,0.2
1185,Basaltic andesite,-122.567,45.88,55.69,1.18,19.49,7.49,0.16,2.76,8.78,3.74,0.54,0.18
1186,Basaltic andesite,-122.606,45.926,55.92,1.68,16.65,9.02,0.14,3.74,7.76,3.71,1.09,0.31
1187,Basaltic andesite,-122.517,45.9552,56.09,1.24,17.94,7.92,0.15,3.67,8.16,3.79,0.89,0.16
1188,Basaltic andesite,-122.52,45.994,56.22,1.19,17.93,7.67,0.14,3.78,8.27,3.56,1.02,0.22
1189,Basaltic andesite,-122.5568,45.995,56.46,1.12,17.17,7.92,0.14,4.02,8.49,3.44,1.04,0.2
1190,Basaltic andesite,-122.6,45.926,56.97,1.15,17.2,7.12,0.15,3.79,7.89,3.88,1.48,0.38
1191,Basaltic andesite,-122.591,45.999,56.98,0.93,18.61,6.59,0.1,3.86,8.21,3.67,0.86,0.18
1192,Andesite,-122.518,45.969,57.21,1.2,17.49,7.66,0.12,4.07,7.51,3.52,1.03,0.2
1193,Andesite,-122.507,45.987,58.89,1.22,16.37,7.87,0.15,3.14,6.82,4.08,1.24,0.23
1194,Andesite,-122.51,45.941,59.28,1.03,17.06,6.64,0.12,4.02,6.75,3.67,1.23,0.22
1195,Andesite,-122.558,45.948,60.21,0.93,17.43,6.22,0.13,3.25,6.43,3.89,1.34,0.16
1196,Andesite,-122.543,45.977,60.38,1.02,16.09,6.77,0.11,3.73,6.57,3.65,1.45,0.22
1197,Andesite,-122.598,45.9858,60.7,0.97,17.01,6.49,0.12,2.97,6.37,3.92,1.19,0.26
1198,Dacite tuff,-122.591,45.924,66.53,0.81,15.49,5.39,0.15,1.5,3.97,4.37,1.59,0.2
1199,Dacite,-122.56,45.931,66.86,0.78,15.5,4.66,0.1,1.52,3.89,4.56,1.97,0.15
1200,Dacite,-122.579,45.942,67.94,0.71,15.38,4.22,0.08,1.22,3.36,4.87,2.08,0.15
1201,Dacite tuff,-122.503,45.991,69.08,0.65,14.96,4.28,0.1,0.88,3.12,4.51,2.26,0.16
1202,Dacite,-122.563,45.955,70.19,0.56,14.88,3.85,0.08,0.64,2.32,4.94,2.41,0.13
1203,Dacite,-122.555,45.921,71.15,0.55,15.27,3.53,0.07,0.59,1.5,4.31,2.92,0.11
1204,Gabbro,-122.574,45.992,50.88,1.18,16.42,9.47,0.15,9.55,9.08,2.67,0.36,0.25
1205,Microgabbro,-122.556,45.94,51.56,0.97,19.55,7.97,0.14,5.46,10.9,2.62,0.65,0.19
1206,Microgabbro,-122.564,45.995,51.65,1.23,17.79,8.04,0.13,7.16,10.27,2.69,0.77,0.27
1207,Gabbro,-122.608,45.973,52.25,1.09,17.42,8.56,0.14,7.61,9.44,2.79,0.54,0.18
1208,Diorite,-122.597,45.972,52.57,1.18,18.05,9.29,0.16,5.41,8.52,3.54,1.11,0.17
